
Zadanie 5: Zapisywanie danych do pliku CSV [3 pkt]
Mając ramkę danych animals z poprzedniego
zadania, wykonaj w podanej kolejności poniższe kroki:
a) zamień w kolumnie 'species' ciągi znaków na pisane samymi wielkimi literami,
b) zapisz tę ramkę danych do pliku CSV o nazwie 'animals.csv' – spraw, by nie zawierał on niejawnych
(numerycznych) indeksów wierszy,
c) odpowiednim poleceniem systemu operacyjnego wyświetl zawartość utworzonego pliku.


    $ cat animals.csv
    

    name,species,age,visits,price,total
    Daisy,CAT,2.5,1,20,20
    Bella,CAT,3.0,3,20,60
    Noodle,SNAKE,0.5,2,10,20
    Charlie,DOG,,3,20,60
    Molly,CAT,2.0,3,10,30
    Draco,SNAKE,4.5,1,10,10
    Kenzo,CAT,,1,20,20
    Milo,DOG,7.0,2,10,20
    Cooper,DOG,3.0,1,10,10
    Buddy,DOG,5.5,2,10,20
    
